Category,currency,sellerRating,Duration,ClosePrice,OpenPrice,Competitive
Music/Movie/Game,US,3249,5,0.01,0.01,0
Music/Movie/Game,US,3249,5,0.01,0.01,0
Music/Movie/Game,US,3249,5,0.01,0.01,0
Music/Movie/Game,US,3249,5,0.01,0.01,0
Music/Movie/Game,US,3249,5,0.01,0.01,0
Music/Movie/Game,US,3249,5,0.01,0.01,0
Music/Movie/Game,US,3249,5,0.01,0.01,0
Music/Movie/Game,US,3249,5,0.01,0.01,0
Music/Movie/Game,US,3249,5,0.01,0.01,0
Music/Movie/Game,US,3249,5,0.01,0.01,0
Music/Movie/Game,US,3249,5,0.01,0.01,0
Music/Movie/Game,US,3249,5,0.01,0.01,0
Music/Movie/Game,US,3249,5,0.01,0.01,0
Music/Movie/Game,US,3249,5,0.01,0.01,0
Music/Movie/Game,US,3249,5,0.01,0.01,0
Music/Movie/Game,US,3249,5,0.01,0.01,0
Automotive,US,3115,7,0.01,0.01,0
Automotive,US,3115,7,0.01,0.01,0
Automotive,US,3115,7,0.01,0.01,0
Automotive,US,3115,7,0.01,0.01,0
Automotive,US,3115,7,0.01,0.01,1
Automotive,US,3115,7,0.01,0.01,1
Music/Movie/Game,US,37727,7,0.01,0.01,0
Music/Movie/Game,US,3249,5,0.06,0.01,1
NA,US,3249,5,0.01,0.01,0
Music/Movie/Game,US,3249,5,0.1,0.01,1
SportingGoods,US,34343,1,0.11,0.01,1
Music/Movie/Game,US,3249,5,0.11,0.01,1
Music/Movie/Game,US,3249,5,0.17,0.01,1
Music/Movie/Game,US,3249,5,0.17,0.01,1
Music/Movie/Game,US,3249,5,0.21,0.01,1
Music/Movie/Game,US,3249,5,0.55,0.01,1
Music/Movie/Game,US,3249,5,0.55,0.01,1
Music/Movie/Game,US,3249,5,1.05,0.01,1
Music/Movie/Game,US,3249,5,1.25,0.01,1
Music/Movie/Game,US,3249,5,1.25,0.01,1
Music/Movie/Game,US,3249,5,1.25,0.01,1
Music/Movie/Game,US,3249,5,1.25,0.01,1
Music/Movie/Game,US,3249,5,1.29,0.01,1
Music/Movie/Game,US,3249,5,1.3,0.01,1
